jobName,companyName,salary,experience,place,companySize,special,school,description
.Net 資深軟體工程師,立亨網絡服務有限公司,面議,3年以上,台北市大安區,員工60人,,專科,"1. Design and implement software components according to the specifications with emphasis on quality, supportability, maintainability, scalability and performance 
根據系統架構包含系統品質、支援性、維護性、擴充性以及效能性等維度，進行系統設計以及強化。
2. Participate in the entire System Development Life Cycle (SDLC) for successful project delivery 
針對線上專案以及系統開發生命週期(SDLC)進行高度技術支援。
3. Perform internal and external project integration 
進行內外部技術專案整合。
4. Assist in user acceptance testing 
協助使用者接受度測試流程。
5. Provide system maintenance support to clients
提供系統維護以及客戶需求支援。"
1019596 System Integration Architect,Hewlett Packard Enterprise_慧與科技股份有限公司,面議,10年以上,台北市南港區,,外商公司,大學,"We currently look for a System Architect with the expectation to drive engineering strategy and direction to ensure HPE products, mainstream operating systems, and related peripherals (networks, storage, etc) are well integrated to meet the demands of Big Data, Mobile Computing, Virtualization, Hybrid Cloud. 
In a typical day a System Integration Architect, your Responsibilities would be: 
• Lead the efforts in defining the engineering strategy, requirements, and processes to ensure optimal user experience
• Collaborate with other engineering teams across multiple organizations on critical engineering decisions making throughout the engineering development cycle
• Prepare proposal for tools, automations, infrastructure requirements to ensure robust quality
• Review and make recommendation to solution partners on how their engineering design and processes to conform with the HPE quality metrics
• Able to identity engineering risks/issues, suggest, and follow through with mitigation plan
• Manages and expands relationships with internal and outsourced development partners
• Provides domain-specific expertise and overall systems test leadership and perspective to cross-organization projects, programs, and activities.
• Drives innovation and integration of new technologies into projects
• Provides guidance and mentoring to less- experienced staff members.
If you are:
• Bachelor's or Master's degree in Computer Science, Electrical Engineering, Information Systems, or equivalent.
• Typically 15+ years’ experience.
And with the Knowledge and Skills as:
• Demonstrate the applicability of OpenStack Cloud Management Principle: Operation Model, Service Delivery and Service Management.
• Minimum 10 years overall technical support or software/system validation experience, 15 years is a plus.
• Solid understanding of Linux and Windows operating system.
• Demonstrate strong knowledge in any of the system level knowledge such as processor, memory,PCI-E, networking, storage, etc. 
• Solid embedded software experience (BIOS, BMC, etc.).
• Advanced troubleshooting skills.
• Perform architecture design, system evaluation, system analysis, and infrastructure assessment.
• Ability to work in a fast paced and agile development environment.
• Must be able to see opportunities for improvement, take ownership and closely work with development team to drive product improvement.
• Working knowledge of Microsoft Azure, Amazon EC2 features to provision, monitor, scale and distribute compute infrastructure is a plus.
• Working knowledge of both server and network virtualization acceleration is a plus
• Working knowledge of both NFV and SDN implementation is a plus.
• Experience designing redundant, highly-available, multi-region cloud architectures
• Familiar with standards for Web Services such as SOAP, JSON over HTTP, and RESTful API is a plus.
• Excellent written and verbal communication skills; mastery in English and local language. Ability to effectively communicate product architectures, design proposals and negotiate options at senior management levels."
"Senior Software Engineer, Data Analysis",泰鼎網路安全科技有限公司_Nexusguard Limited,面議,3年以上,台北市內湖區,員工30人,,專科," threat analytics internally and externally. Knowledge of internet protocols, statistical analysis, pattern recognition, data"
軟體專案管理師－A3701,精聯電子股份有限公司,面議,3年以上,台北市內湖區,員工410人,,專科,"[主要工作內容] 
1. 領導團隊進行現有軟體之測試與驗證。
2. 管理整個軟體開發專案之流程（如：前置規劃、流程分析、解決方案評估、系統分析、系統設計、系統開發、資料驗證、系統測試、使用者測試）。
3. 了解相關單位對於資訊化之需求，思考合適之解決方案，協助整體資訊之發展與應用。
4. 進行專案過程中必要之溝通協調工作。
5. 負責專案風險之管理與排除。

[特質]
1. 期望參與企業雲+端各式應用方案的開發專案。
2. 重視溝通，且能從使用者角度思考。
3. 能認同團隊合作價值。

[更佳]
.具Web+Windows Mobile
.或Web+Android應用經驗。"
生物資訊助理工程師 / 工程師-生物資訊部,行動基因生技股份有限公司,面議,2年以上,台北市內湖區,員工50人,,碩士,"1. 次世代定序資料分析 NGS data analysis
2. 癌症生物資訊資料分析與資料庫建置  Bio-informatics analysis and database construction for cancer research."
Engineer for System Integration(ISQAD),D-Link_友訊科技股份有限公司,面議,1年以上,台北市內湖區,員工600人,上市上櫃,大學,".Performance test of Web Application server.
.Server system verification and system fine tune.
.Advance Tech. of web application study and experiment.
.Tool development of test."
系統分析師,緯德科技股份有限公司 (TechLink Corporation),面議,2年以上,台北市松山區,員工220人,,專科,"- 具備需求分析、系統設計、資料庫設計能力，並能進行需求訪談及溝通協調。
- 撰寫需求訪談、系統分析、需求規格書等相關文件。
- 至少熟悉JAVA或.NET任一種程式語言。
- 具備系統分析師實務經驗2年以上。
- 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。
- 配合公司專案需求至客戶端駐點服務。"
ExtJS/Java 軟體工程師,雲簽科技股份有限公司,面議,經歷不拘,台北市大安區,,,專科,"1.使用 ExtJS + Oracle 開發及維護EIP, HR, CRM。 
2.具備OOP基礎能力及概念(例如Java，C#/C++，VB...)。
3.具備網頁基礎能力 Html + Css + Javascript。 
4.具關聯式資料庫概念，熟悉 SQL 語法尤佳。  
5.主動積極、認真負責，與團隊有良好的溝通及合作精神。 

＝＝＝＝細項工作內容請看其他條件＝＝＝＝"
系統分析師(產險業),緯德科技股份有限公司 (TechLink Corporation),面議,2年以上,台北市松山區,員工220人,,專科,"- 具備需求分析、系統設計、資料庫設計能力，並能進行需求訪談及溝通協調。
- 撰寫需求訪談、系統分析、需求規格書等相關文件。
- 至少熟悉JAVA或.NET任一種程式語言。
- 具備系統分析師實務經驗2年以上。
- 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。
- 配合公司專案需求至客戶端駐點服務。
- 熟悉產險業務流程或有產物保險系統經驗尤佳。"
系統分析師(銀行業),緯德科技股份有限公司 (TechLink Corporation),面議,2年以上,台北市松山區,員工220人,,專科,"- 具備需求分析、系統設計、資料庫設計能力，並能進行需求訪談及溝通協調。
- 撰寫需求訪談、系統分析、需求規格書等相關文件。
- 至少熟悉JAVA或.NET任一種程式語言。
- 具備系統分析師實務經驗2年以上。
- 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。
- 配合公司專案需求至客戶端駐點服務。
- 熟悉金融業財富管理知識領域或銀行金融商品尤佳。"
軟體工程師-台北,新印科技股份有限公司,面議,經歷不拘,台北市大安區,員工90人,,大學,"1.應用系統專案開發及維護。
2.一般系統分析、程式撰寫、測試、製作系統文件
3.其他主管交辦事項"
資深軟體工程師/系統分析師,雲簽科技股份有限公司,面議,5年以上,台北市大安區,,,專科,"1.使用 ExtJS + Oracle 開發及維護ERP,EIP, HR, CRM
2.具備網頁能力 Html + Css + Javascript
3.具關聯式資料庫概念，熟悉 SQL 語法
4.具備OOP能力(例如Java，C#/C++，VB...)
5.主動積極、認真負責，與團隊有良好的溝通及合作精神。"
