jobName,companyName,salary,experience,place,companySize,special,school,description
開發工程師 (PG),泓廣數據有限公司,面議,3年以上,台北市大同區,,,專科,"工作內容與要求
• 熟悉Java，了解物件導向程式設計，並實際體現在工作中。
• 熟悉網站應用程式架構開發，如JSP Web Application、HTML等。
• 能按照開發組長的規範來開發程式，撰寫合宜註解，定期回報進度與開發問題。
• 熟悉關連式資料庫（如MySQL）與相關語法。
• 以撰寫出良好關注點分離、維護容易、調校方便的程式為己任。
• 能按照原型設計、系統設計書來開發系統、設計頁面元件。
• 以特定的版本控管技術（如Git），來控管自身程式碼，與團隊進行協同開發。
尤佳-
• 熟悉NoSQL資料庫尤佳（如MongoDB）。
• 熟悉Spring Boot/ Spring Cloud尤佳。
• 能進行單元測試除錯尤佳。
• 有Big Data相關開發經驗尤佳。"
.Net 資深軟體工程師,立亨網絡服務有限公司,面議,3年以上,台北市大安區,員工60人,,專科,"1. Design and implement software components according to the specifications with emphasis on quality, supportability, maintainability, scalability and performance 
根據系統架構包含系統品質、支援性、維護性、擴充性以及效能性等維度，進行系統設計以及強化。
2. Participate in the entire System Development Life Cycle (SDLC) for successful project delivery 
針對線上專案以及系統開發生命週期(SDLC)進行高度技術支援。
3. Perform internal and external project integration 
進行內外部技術專案整合。
4. Assist in user acceptance testing 
協助使用者接受度測試流程。
5. Provide system maintenance support to clients
提供系統維護以及客戶需求支援。"
1019596 System Integration Architect,Hewlett Packard Enterprise_慧與科技股份有限公司,面議,10年以上,台北市南港區,,外商公司,大學,"We currently look for a System Architect with the expectation to drive engineering strategy and direction to ensure HPE products, mainstream operating systems, and related peripherals (networks, storage, etc) are well integrated to meet the demands of Big Data, Mobile Computing, Virtualization, Hybrid Cloud. 
In a typical day a System Integration Architect, your Responsibilities would be: 
• Lead the efforts in defining the engineering strategy, requirements, and processes to ensure optimal user experience
• Collaborate with other engineering teams across multiple organizations on critical engineering decisions making throughout the engineering development cycle
• Prepare proposal for tools, automations, infrastructure requirements to ensure robust quality
• Review and make recommendation to solution partners on how their engineering design and processes to conform with the HPE quality metrics
• Able to identity engineering risks/issues, suggest, and follow through with mitigation plan
• Manages and expands relationships with internal and outsourced development partners
• Provides domain-specific expertise and overall systems test leadership and perspective to cross-organization projects, programs, and activities.
• Drives innovation and integration of new technologies into projects
• Provides guidance and mentoring to less- experienced staff members.
If you are:
• Bachelor's or Master's degree in Computer Science, Electrical Engineering, Information Systems, or equivalent.
• Typically 15+ years’ experience.
And with the Knowledge and Skills as:
• Demonstrate the applicability of OpenStack Cloud Management Principle: Operation Model, Service Delivery and Service Management.
• Minimum 10 years overall technical support or software/system validation experience, 15 years is a plus.
• Solid understanding of Linux and Windows operating system.
• Demonstrate strong knowledge in any of the system level knowledge such as processor, memory,PCI-E, networking, storage, etc. 
• Solid embedded software experience (BIOS, BMC, etc.).
• Advanced troubleshooting skills.
• Perform architecture design, system evaluation, system analysis, and infrastructure assessment.
• Ability to work in a fast paced and agile development environment.
• Must be able to see opportunities for improvement, take ownership and closely work with development team to drive product improvement.
• Working knowledge of Microsoft Azure, Amazon EC2 features to provision, monitor, scale and distribute compute infrastructure is a plus.
• Working knowledge of both server and network virtualization acceleration is a plus
• Working knowledge of both NFV and SDN implementation is a plus.
• Experience designing redundant, highly-available, multi-region cloud architectures
• Familiar with standards for Web Services such as SOAP, JSON over HTTP, and RESTful API is a plus.
• Excellent written and verbal communication skills; mastery in English and local language. Ability to effectively communicate product architectures, design proposals and negotiate options at senior management levels."
Administrative Assistant – Technology Support,美商美國銀行股份有限公司台北分公司,面議,1年以上,台北市信義區,員工130人,,專科,"About Bank of America Merrill Lynch: 
Our purpose as a firm is to make financial lives better, through the power of every connection. Across the world, we partner with leading corporate and institutional investors through our offices in more than 40 countries. In the U.S alone, we serve almost all Fortune 500 companies and approximately 59 million consumers and small-business customers. We provide a full suite of financial products and services, from banking and investments to asset and risk management. We cover a broad range of asset classes, making us a global leader in corporate and investment banking, sales and trading.                             
Connecting Asia Pacific to the World
Our Asia Pacific team is spread across 23 offices in 12 markets. We are focused on connecting Asia to the world and the world to Asia, using our global expertise to ensure success is shared between us, our clients and our communities. Our regional footprint covers 12 currencies, more than a dozen languages and five time zones, placing us firmly among the region’s leading financial services companies.
Bank of America Merrill Lynch is committed to attracting, recruiting and retaining top diverse talent from across the globe. Our diversity and inclusion mission is to actively promote an inclusive work environment where all employees have the opportunity to achieve personal success and contribute to the growth of our business. Each of our global Employee Networks bring together employees, create dialogue and awareness in support of our Diversity and Inclusion mission.
Position Description
Key responsibilities:
- Responsible for providing daily IT support services to businesses team from an on-site location; 
- Demonstrate timely and correct troubleshooting and escalation of problem spots, and to provide end-user assistance and training where necessary;
Responds to internal user problems based on standard procedures;
Track incidents and calls, including but not limited to, entering data into the database timely and accurately;
May be responsible for ensuring systems are configured properly
Performs all administrative support including composing, signing and releasing routine/somewhat complex correspondence;
Maintains highly confidential files and records
Key Requirements:
• University/College degree. Good spoken and written communication skills in English and Chinese 
• Solid foundation of Personal Computer experience
• Overall knowledge of desktop productivity products and PC skills including Excel, Word and PowerPoint
• Good communication and interpersonal skills with ability to work as part of a team.
Bank of America Merrill Lynch is an equal opportunities employer"
Data Analyst / Data Scientist,國泰金控_國泰金融控股股份有限公司,面議,經歷不拘,台北市信義區,員工200人,上市上櫃,大學,"- Focus on analyzing data using statistics, machine learning, and deep learning methods
- Research various machine learning"
Data Engineer,ROBERT WALTERS_華德士股份有限公司,面議,2年以上,台北市內湖區,,,大學,"KEY RESPONSIBILITIES
• Design, develop data transformations using ELT and ETL approach, and modify and test software"
Data Engineer,華新麗華股份有限公司,面議,3年以上,台北市信義區,員工6500人,上市上櫃,大學,"1. Evaluate, design and implement highly scalable data management systems for data ingestion, storage, processing, and"
Data Analyst,巷語開發股份有限公司,面議,2年以上,台北市南港區,員工40人,,大學,-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research
Data Scientist,捷思遊戲科技有限公司,面議,5年以上,台北市內湖區,員工80人,,碩士,"Summary of role and responsibilities
As a Data Scientist you will be a member of the Business Intelligence team"
Data Analyst,Asia Fusion Technology_飛迅設計有限公司,面議,1年以上,台北市內湖區,員工95人,,大學,"1. Automate web-crawlers to double check data on client website with our database.
2. Produce weekly/monthly data accuracy"
Data Visualization Analyst,國泰金控_國泰金融控股股份有限公司,面議,經歷不拘,台北市信義區,員工200人,上市上櫃,大學,"- Use visualization to tell a compelling data story
- Collaborate with data engineers and data analysts to develop and"
Software Engineer - Data,英屬維京群島商點石創新股份有限公司臺灣分公司,面議,經歷不拘,台北市大安區,員工45人,,大學,"Responsibilities Include:
Design and implement Intowow data platform that meets both internal and external needs."
