jobName,companyName,salary,experience,place,companySize,special,school,description
Backend engineer,浪Live_香港商駿明數位科技有限公司台灣分公司,面議,2年以上,台北市中山區,員工80人,,專科,"1. Develop and operate scalable, reliable and maintainable service-based softwares and related components. 
2. Cowork with team members to design system architecture, choose proper technologies and plan development. 
3. Profiling and performance tuning of critical components 
4. Deploy system to production and monitor service health
5. Ability to build web services on Linux. 
6. Good at any of the listed language: Python / Go / node.js / PHP. 
7. Good knowledge of Network API Design ( e.g. REST or GraphQL).
8. Good understanding of any SQL / NoSQL database (MySQL / MongoDB / Redis / etc.) 
9. Familiar with git. 
10. Team player and able to work independently."
Python (Python / Django) 工程師,易普網路股份有限公司,面議,1年以上,台北市大安區,員工30人,,專科,"以Python/Django進行數據分析/網頁程式開發

*公司位於北市仁愛圓環誠品旁，交通便利不塞車
*熱情與積極是我們最重視的特質!

此工作同時也會
- 依據專案需要接觸系統分析、資料庫設計, 爬蟲等，同時不斷進行網站優化"
Python Software Developer,海峰電腦股份有限公司,面議,2年以上,台北市內湖區,員工1003人,,大學,"Hyve Solutions is looking for a talented junior/mid-level Python software engineer to help write Python programs. 
You are"
Software Engineer (Python),美思科技股份有限公司,面議,1年以上,台北市南港區,,外商公司,大學,"1. Develop and maintaining main product.
2. Build automation testing foundation.
3 . We use Python and Java mainly"
Python工程師,台灣谷嘉美有限公司,面議,經歷不拘,台北市大安區,員工150人,,學歷不拘,"工作內容：
1.負責公司支付平台開發
2.負責公司後端工具開發
條件要求：
1.熟悉數據結構基礎，熟練Python
2.有pythhon框架Web.py或Django為佳
3.熟悉者Mongodb為佳
4.擁有串接MyCard與"
Python講師,奇科系統有限公司,面議,3年以上,台北市中山區,員工20人,,大學,"奇科專精高階電腦教育訓練，旨在培養台灣高科技資訊人才
2015年我們正在招聘資訊各領域專業實務經驗的老師，其需求的領域如下：

精通Python語言講師 1～2名
(有實務經驗者尤佳)

堅持嚴選一流師資配合奇科業務擴張，希望優秀的您"
"Python 工程師 (Python, Django)",任開數位媒體行銷股份有限公司,月薪 5萬元 至 10萬元,1年以上,台北市中正區,員工45人,,大學," citiesocial 的技術作業流程，瞭解如何透過精準的資料探索及人工智慧來進行網路銷售分析及預測，同時您將熟悉垂直性電子商務的技術及經營模式。

1. 熟悉 Python 及 Django Framework 
2. 理解 CSS3, JavaScript"
Python / Django 資深工程師 / 主管,易普網路股份有限公司,月薪 5萬8仟元 至 12萬元,2年以上,台北市大安區,員工30人,,專科,"熟悉Python/Django(另有可能接觸ES-Elastic Search, PHP)

此工作會依據專案需要，進行系統分析、資料庫設計, 爬蟲及網頁 Python 程式開發設計，同時不斷進行數據分析與優化。

需可與跟PM、UI"
Python 程式設計語言講師(台北地區),聯成電腦有限公司(聯成電腦/聯成美語),面議,3年以上,台北市中正區,員工280人,,大學,"【業界經驗】至少有python開發經驗2年以上。
【授課經驗】若有尤佳，若無則需準備教材試教以確認教學能力。
【其它】
+ 熟 Python程式語言、Scipy、Spark、SQL Server資料庫、資料探勘、統計分析相關經驗"
Python 軟體工程師,瑄品股份有限公司,面議,3年以上,台北市信義區,員工40人,,大學,"Python高手
歡迎喜歡挑戰未來的高手，一同加入 

發展遠景：
以Python開發新技術
成就樂趣：
來了就知道高度"
Python / Django 工程師,歐亞全球科技有限公司,月薪 4萬元 至 7萬元,1年以上,台北市信義區,員工30人,,專科,"1.熟python開發，具備實作經驗
2.後端系統架構規劃
3.具API規劃及實作經驗
4.維護既有網站後端系統、優化後台、報表
5.實作Mysql資料庫程式，熟資料庫優化
6.能閱讀英文文件
7.對學習新語言有興趣者，例如"
DevOps Engineer (Linux & Python expert),香港商雅虎資訊股份有限公司(Yahoo!奇摩),面議,經歷不拘,台北市南港區,員工1200人,外商公司,大學," understanding of IP networking concepts
- Experience with scripting on Python and/or Ruby
- Good understanding of monitoring and"
程式設計師（Python),飛資得資訊股份有限公司,面議,1年以上,台北市內湖區,員工120人,,專科,"1.執行指派自有產品及專案軟體系統程式開發。
2.專案產品軟體系統測試與導入。
3.系統保固維護服務及客戶服務之技術問題解決
4.具備團隊合作能力，能夠主動與PM、設計師等討論並給予專業建議，共同追求合適的解決方案。"
Python Developer,美商網碩科技股份有限公司台灣分公司,面議,3年以上,台北市松山區,員工100人,,專科,"FriendFinder Networks is looking for a Python Developer who will work with
cross functional teams to design, develop, and"
Python_Developer,博彥科技有限公司,面議,3年以上,台北市大安區,員工10000人,,大學,"Major responsibilities include:
- Participate in application development life cycle, including planning, analysis, design, implementation and maintenance.
- Characterize end-to-end performance and effectiveness of product benchmark platform.
- Collaborate with product RD team and implement solution for product benchmark.
- Define realistic scenarios, build tools and/or simulators, write representative benchmarks, and perform analysis to contribute to architectural decisions to optimize product benchmark platform."
Python程式設計師,時現資訊科技股份有限公司,面議,3年以上,台北市大同區,員工30人,,專科,"1.有Big Data相關開發經驗。
2.熟悉Java，瞭解物件導向程式設計（OOP）。
3.熟悉網站應用程式架構開發，如JSP Web Application、Spring MVC、Python等。
4.能按照開發組長的規範來開發程式"
Python 程式設計師 （台北）,立達軟體科技股份有限公司,月薪 4萬元 至 6萬元,經歷不拘,台北市大安區,員工20人,,大學,"使用 Python, HTML5, CSS3, JavaScript, MySQL 開發網頁程式。
使用 Python 進行以下網站的 CGI 網頁系統開發、建置、及維護：
https://www.openrobot.club
https"
[資訊部] Python 工程師,酷遊天股份有限公司,面議,1年以上,台北市南港區,,,專科,"【職務需求】
1. 隨著公司發展，開發或整合各式服務系統
2. 測試，修正，新增功能在目前已開發的自動化服務
3. 至少熟悉一種Python Framework，一年以上經驗
4. 程式語言：Python 為主，PHP為輔
5. 習慣"
Python 程式設計經理 （台北）,立達軟體科技股份有限公司,月薪 5萬元 至 8萬元,經歷不拘,台北市大安區,員工20人,,大學,"只要認真努力，達成公司績效目標，年薪可超過百萬。
使用 Python, HTML5, CSS3, JavaScript, MySQL 開發網頁程式。
使用 Python 進行以下網站的 CGI 網頁系統開發、建置、及維護：
https"
創新科技中心-Python工程師,OK_忠訓國際股份有限公司,面議,1年以上,台北市松山區,員工160人,,大學,"好。

邀請您一同加入OK忠訓國際集團，共同打造專屬於華人世界NO.1的P2P平台!!!

工作內容如下：
※薪優 面議 提供完整教育訓練※
1.熟悉Python程式開發及維護
2.系統技術研究與專案推動上線
3.依據商務需求設計"
創新科技中心-Python架構師,OK_忠訓國際股份有限公司,面議,經歷不拘,台北市松山區,員工160人,,大學,"好。

邀請您一同加入OK忠訓國際集團，共同打造專屬於華人世界NO.1的P2P平台!!!

工作內容如下：
※薪優 面議 提供完整教育訓練※
1.熟悉Python程式開發及維護
2.系統技術研究與專案推動上線
3.依據商務需求設計"
Python developer / Python 工程師(3萬5仟元至6萬5仟元),雷技資訊科技有限公司,月薪 3萬6仟元 至 6萬5仟元,2年以上,台北市南港區,員工17人,,大學,"【工作內容】
1.  Python應用程式開發。
2. 使用良好軟體開發方法撰寫設計良好、可測試、有效率的程式碼。
3. 與專案經理討論需求和可行性，能共同撰寫 User Story、Test Case 等文件。 
4. 與團隊成員合作"
Python工程師,新諾資訊股份有限公司,面議,經歷不拘,台北市大安區,員工30人,,專科,python html javascript
資深後端工程師(歡迎 Python/Node js 後端人才)-台北總處,誠揚商務服務股份有限公司,月薪 5萬元 至 8萬元,3年以上,台北市中山區,員工120人,,專科,"歡迎 Python/Node js 後端人才 

工作內容： 
1.負責公司網站及 APP 之 API 開發 
2.熟悉 Mongo DB, SQL, gRPC, RESTful 
3.具有界接Web/Cloud API網路實務者佳(如"
Python Senior Developers,同發安科研有限公司,面議,4年以上,台北市中山區,,,大學,"熟悉Selenium爬蟲經驗
Flask
Beautifulsoup4
Linux
Python 3.0
Mysqi"
QA -(Familiar with Python / automation),碩誠國際股份有限公司,面議,經歷不拘,台北市松山區,員工80人,,專科,"1.產品自動化測試
2.自動化程序撰寫及修改
3. 熟悉python
4.Robot machine"
Python Web Developer_Corp. IT(台北內湖),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,依公司規定,3年以上,台北市內湖區,員工83000人,上市上櫃,大學,We are looking for a Python Web Developer responsible for managing the network of data and automatic Delta network. Your
Python 工程師,比房科技股份有限公司,面議,經歷不拘,台北市大安區,員工30人,,專科,"必須具備： 
1. Python爬蟲經驗
2.有耐心，具備團隊溝通能力 
3.對敏捷式開發、自動化測試有經驗或興趣 
4.我們不局限於單一技術，我們希望團隊共同成長，學習與應用最新的技術 
5.擅長 Python、My SQL，相關工作"
Python Backend Engineer,街口電子支付股份有限公司,面議,3年以上,台北市松山區,員工70人,,大學," function. 

Requirements: 
1. Minimum 2 years experience with Python  
2. Extensive knowledge of Object Oriented software"
S-Python Django Web Developer (證券-資訊處應用一科),永豐金融控股股份有限公司 (永豐銀行/永豐金證券/永豐客服科技/永豐金租賃),面議,經歷不拘,台北市中正區,員工8900人,上市上櫃,專科,We are looking for  Python Django Web Developers responsible for managing the interchange of data between the server and
[鴻海科技集團 富盈數據] Python/ PHP Engineer,富盈數據股份有限公司,面議,2年以上,台北市大安區,員工40人,,學歷不拘,"主要工作內容為使用Python接前後端，部分程式碼為PHP視候選人特質協助數據分析部分（加分）
一、開發環境：
     1.前端：jQuery
     2.後端：PHP、Python, RESTful API
     3"
