jobName,companyName,salary,experience,place,companySize,special,school,description
開發工程師 (PG),泓廣數據有限公司,面議,3年以上,台北市大同區,,,專科,"工作內容與要求
• 熟悉Java，了解物件導向程式設計，並實際體現在工作中。
• 熟悉網站應用程式架構開發，如JSP Web Application、HTML等。
• 能按照開發組長的規範來開發程式，撰寫合宜註解，定期回報進度與開發問題。
• 熟悉關連式資料庫（如MySQL）與相關語法。
• 以撰寫出良好關注點分離、維護容易、調校方便的程式為己任。
• 能按照原型設計、系統設計書來開發系統、設計頁面元件。
• 以特定的版本控管技術（如Git），來控管自身程式碼，與團隊進行協同開發。
尤佳-
• 熟悉NoSQL資料庫尤佳（如MongoDB）。
• 熟悉Spring Boot/ Spring Cloud尤佳。
• 能進行單元測試除錯尤佳。
• 有Big Data相關開發經驗尤佳。"
JAVA資深程式設計師,遠雄人壽保險事業股份有限公司(總公司),面議,5年以上,台北市信義區,員工730人,,專科,"1.負責Java應用系統開發及維護。
2.負責各項專案開發及執行。

【具壽險系統開發經驗者尤佳】"
數據工程師,台盈資訊科技有限公司,面議,經歷不拘,台北市松山區,,,大學,"1. 大數據架構設計及資料收集實驗設計。 
2. 相關軟體之應用 
3. 趨勢分析研究、公式演算法產出 
4. 數據分析可視化 
5. 具備資料文件撰寫及簡報能力"
數據工程師,TVBS_聯利媒體股份有限公司,面議,2年以上,台北市內湖區,員工1200人,,大學,大數據應用設計與開發
數據工程師,創星物聯科技股份有限公司,面議,2年以上,台北市內湖區,,,大學,"1. 研究大數據開源(open source)方案及大數據分析平台開發和維運。
2. 協助資料研究與數據分析過程中所需要的數據運算，ETL設計等研發 (Hadoop Ecosystem)，萃取可提供營運團隊做為決策使用之數據。 
3. 開發"
數據分析師,(遠東集團)鼎鼎企業管理顧問股份有限公司,面議,經歷不拘,台北市大安區,員工160人,,大學,"「新零售」、「全渠道」、「無人店」等，都是零售通路數位轉型的藍圖；人工智慧、機器學習等，則是提升消費體驗，轉型必備的能力，而提供能力的養分則是零售通路的巨量資料、適切的演算法、及懂得探索數據的人才! 

遠東集團零售通路體系現下即將進入新營運"
數據分析師,中國信託商業銀行股份有限公司,面議,2年以上,台北市南港區,員工25000人,,學歷不拘,"1.開發維護全行創新預測模型
2.開發維護海外創新預測模型
3.數據洞察與商機探索
4.跨單位協調與溝通模型應用與導入議題"
數據分析平台開發工程師,創雲數據股份有限公司,面議,2年以上,台北市內湖區,員工15人,,專科,"工作內容
• 開發數據分析模組
• 開發 Apache Storm Topology"
[鴻海科技集團 富盈數據] 電商儲備幹部,富盈數據股份有限公司,面議,1年以上,台北市大安區,員工40人,,專科,根據個人科系 / 面談內容 /過往經驗綜合評估，決定適合部門及工作職掌。部門包括：事業發展、行銷規畫、營運優化、數據分析、品類管理。錄取者將透過豐富的執行訓練、多元化的團隊合作，建立對電商營運的Know-how。
[鴻海科技集團 富盈數據] Python/ PHP Engineer,富盈數據股份有限公司,面議,2年以上,台北市大安區,員工40人,,學歷不拘,"主要工作內容為使用Python接前後端，部分程式碼為PHP視候選人特質協助數據分析部分（加分）
一、開發環境：
     1.前端：jQuery
     2.後端：PHP、Python, RESTful API
     3"
