jobName,companyName,salary,experience,place,companySize,special,school,description
資訊部 - 爬蟲開發與數據分析工程師,東森新聞雲股份有限公司,面議,2年以上,台北市南港區,員工450人,,大學,"爬蟲系統，功能包含儲存，清理，搜索，監控，資料的呈現和互動，也希望它能夠快速反應現實世界的變化甚至自動化，如果你有想法歡迎加入我們。

## 工作內容

- 網頁爬蟲系統的設計開發與維護。 
- 提升爬蟲抓取效率和品質。 
- ETL"
網路爬蟲工程師,藍星球資訊股份有限公司,面議,經歷不拘,台北市信義區,,,專科,"1. 本職務工作內容為擴充／開發網頁爬蟲程式
2. 職務標的為開發穩定的資料擷取架構應用
3. 資料包括媒體新聞文章，社群網站等
4. 熟悉 node.js 為最佳，或熟悉 Python、PHP 等語言爬蟲應用
5. 熟悉 MariaDB"
Fullstack工程師- 資料爬蟲,國風傳媒有限公司,面議,3年以上,台北市內湖區,員工105人,,大學,"充滿熱情及創意的您，加入我們精英的行列。
Fullstack工程師- 資料爬蟲
工作內容
1. 爬蟲架構開發
2. 網站程式開發及維護
3. API 及後台系統開發及維護"
[台北內科西湖站]python爬蟲開發與數據分析師,兆洋資訊股份有限公司,面議,經歷不拘,台北市內湖區,員工130人,,大學,"1. 熟知python爬蟲程式設計與維護
2. 熟悉演算法和分散式系統
3. 設計與製作公司形象規範、網站視覺風格
4. 對新技術富有研究及學習精神，且積極提升自身專業水準
5. 樂於溝通並具備團隊精神與高配合度，抗壓性強
6. 具相關"
python程式工程師,全勝發網路資訊股份有限公司,面議,經歷不拘,台北市南港區,員工25人,,學歷不拘,"1.製作並維護爬蟲程式
2.網站後端程式開發"
Python / Django 資深工程師 / 主管,易普網路股份有限公司,月薪 5萬8仟元 至 12萬元,2年以上,台北市大安區,員工30人,,專科,"熟悉Python/Django(另有可能接觸ES-Elastic Search, PHP)

此工作會依據專案需要，進行系統分析、資料庫設計, 爬蟲及網頁 Python 程式開發設計，同時不斷進行數據分析與優化。

需可與跟PM、UI"
Python (Python / Django) 工程師,易普網路股份有限公司,面議,1年以上,台北市大安區,員工30人,,專科,"以Python/Django進行數據分析/網頁程式開發

*公司位於北市仁愛圓環誠品旁，交通便利不塞車
*熱情與積極是我們最重視的特質!

此工作同時也會
- 依據專案需要接觸系統分析、資料庫設計, 爬蟲等，同時不斷進行網站優化"
Python 軟體工程師,瑄品股份有限公司,面議,3年以上,台北市信義區,員工40人,,大學,"Python高手
歡迎喜歡挑戰未來的高手，一同加入 

發展遠景：
以Python開發新技術
成就樂趣：
來了就知道高度"
Python Senior Developers,同發安科研有限公司,面議,4年以上,台北市中山區,,,大學,"熟悉Selenium爬蟲經驗
Flask
Beautifulsoup4
Linux
Python 3.0
Mysqi"
[研發替代役]金融科技研發工程師-TA,(總公司)南山人壽保險股份有限公司,面議,經歷不拘,台北市信義區,員工4000人,,大學,架設及維護伺服器和平台、開發(人工智慧)文字探勘和量化演算法、開發量化投資策略方法
軟體工程師,OhMyFood吃吧 大數據美食平台_拓熙股份有限公司,月薪 4萬元 至 6萬元,1年以上,台北市大安區,員工10人,,學歷不拘,"1. 使用Python撰寫網路爬蟲 
2. 熟悉ASP.NET MVC 開發 
3. 文字探勘與語意分析相關研究"
【資安所】網站後端工程師CSTI18-011,資策會_財團法人資訊工業策進會,面議,1年以上,台北市松山區,員工2000人,,碩士,"1.Web網站程式開發維護。
2.伺服器端相關RESTfulAPI開發
3.串接資料分析模組。
4.網站開發功能設計與規格擬定。
5.技術文件撰寫。

能力需求
1.web網站程式開發維護
2.具JAVA或PYTHON開發經驗(JAVA較佳)
3.具Spring MVC框架開發經驗
4.熟悉MySQL/Elasticsearch等資料庫
5.具第三方API串接經驗(如GOOGLE API)
6.熟悉git版本控管
7.善於溝通表達，具備良好的團隊合作能力"
軟體工程師,卓越動力資訊股份有限公司,面議,經歷不拘,台北市中正區,,,大學,"1. 使用Python撰寫網路爬蟲
2. 管理AWS雲服務
3. 文字探勘與搜尋引擎相關研究
4.無經驗可 具相關工作經驗尤佳"
軟體工程師,新加坡商異域資訊有限公司台灣分公司,月薪 4萬元 至 8萬元,經歷不拘,台北市信義區,員工7人,,學歷不拘,"工作內容
1. 網站後端程式開發 PHP、MariaDB、Mongo
2. 網站前端程式開發 Javascript、jQuery、Vue.js
3. 爬蟲開發，使用 NodeJS、RabbitMQ、MariaDB 等
4. 串接金流、旅遊"
.NET (C#) 軟體工程師,育學雲端股份有限公司,面議,1年以上,台北市中山區,員工40人,,專科,"1. 網站、應用程式設計、測試與修改。
2. C#、ASP.NET、ASP.NET MVC 開發網站及應用程式。
3. 熟 ASP.NET Core、ADO.NET、SQL Server 佳。
4. 撰寫網路爬蟲。
5. 開發維護公司自有"
後端資料工程師 -D,CHOCO TV_巧克科技新媒體股份有限公司,面議,經歷不拘,台北市松山區,,,大學,"CHOCOLABS邀請，夥伴來作伴

☞ 協助建立後端資料處理與分析系統
☞ 資料模型設計與優化
☞ 協助開發爬蟲程式
☞ 必備技能-程式語言：Python / Javascript  (擇一)
☞ 必備技能-使用工具：Docker"
Python 工程師,比房科技股份有限公司,面議,經歷不拘,台北市大安區,員工30人,,專科,"必須具備： 
1. Python爬蟲經驗
2.有耐心，具備團隊溝通能力 
3.對敏捷式開發、自動化測試有經驗或興趣 
4.我們不局限於單一技術，我們希望團隊共同成長，學習與應用最新的技術 
5.擅長 Python、My SQL，相關工作"
資料工程師,治略資訊整合股份有限公司,面議,1年以上,台北市中正區,員工10人,,專科,"Elasticsearch等open source為中心開發全文搜尋功能。
8.以Spark為中心開發Data Analysis系統功能。
9.爬蟲系統的開發與維護。
10.前端Web頁面開發。
以上工作項目將依專長或希望的發展方向安排個人負責項目。"
兼-資料工程師(實習生計劃),治略資訊整合股份有限公司,面議,1年以上,台北市中正區,員工10人,,專科,"Elasticsearch等open source為中心開發全文搜尋功能。
8.以Spark為中心開發Data Analysis系統功能。
9.爬蟲系統的開發與維護。
10.前端Web頁面開發。
以上工作項目將依專長或希望的發展方向安排個人負責項目。"
資料工程師 實習,臺北直接貸金融科技股份有限公司,面議,1年以上,台北市中山區,員工10人,,專科,"工作內容：社群資料與經濟數據資料爬蟲、清理、儲存、分析。
基本技能：Python、R
熟悉套件：BeautifulSoup、Pandas、Numpy
個性特徵：具備團隊默契，能夠建立良好溝通管道。
加分項目：Django、金融交易經驗"
資料分析工程主管,順立智慧股份有限公司,依公司規定,3年以上,台北市內湖區,員工40人,,大學,"我們是來自網路圈與IC設計公司的新創公司
透過 Ruby on Rails 開發新一代 E-commerce 系統與物聯智慧服務

主要的工作內容為：
1. 管理及規劃工作排程
2. 整合目前的功能及發想新的服務
3. 查詢/統計/分析，所獲取的資料"
【彈性工時】數據分析研究生,好好投資科技股份有限公司,面議,經歷不拘,台北市信義區,員工10人,,專科,"本職務是兼職，實習期間原則採""長期""，例外""短期(需至少2個月)""

【工作內容】
協助本公司智能理財平台，在資料彙整、分析、視覺化之研究與各階段運用。

【彈性工時】
我們可接受以下其中一種合作方式：
(1)固定晚班：18:30~22:00。
(2)彈性日班：周一至周五09:30~18:30之間，彈性日任選連續3個小時的排班。
(3)上班地點：台大水源校區(卓越研究大樓 7樓，限台大學生) 或 信義區辦公室

【好好嚴選】
我們正在找人，但尋志同道合，寧缺也不願濫選！我們不只找員工，更覓共同打拼的事業夥伴，雖是新創公司，但福利絕對優於上市公司。

您應該看得出，我們不同一般公司更認真仔細地徵才，注重每個環節，這是我們做好一件小事的標準，我們是站在世界金融科技風口的團隊，也是「79%」一定會成功的新創公司！這剩下「21%」的不確定，等待優秀且舉足輕重的您來為我們補足，如您只是帶著打工的心態，請不要來！如希望找到環境好，福利佳，能力快速成長的公司，歡迎您來試試看。

【好好認識】
好好投資科技是新創公司，也是一個築夢踏實的年輕團隊(但我們的志氣大到將會翻轉生態)

公司的產業正是目前站在風口的金融+科技 (Fintech)領域，現正開發一個很有趣且特別的財富管理平台，官方網站：www.howinvest.com

我們對於金融遇見科技的未來有著具體想像，即將運用人工智慧打破投資的專業門檻，改變傳統理財顧問與投資人的互動方式，我們要讓最需要理財的小資族，用非常簡單的方式直覺性投資！

公司創始成員由來自金融實務界資深銀行家與外資證券老總的發起，工程團隊從前端、後端、資料庫、演算法工程師都是新世代創客。

【好好徵才】
(以下4項前提，任一未具備者勿投履歷)
1.對有金融科技有興趣與熱情，想參與最夯的金融科技專案。(您現在不需很懂金融，但要有興趣) 。
2.注重細節及使用流程，能從使用者角度思考。
3.具主動、獨立作業與思考能力、執行能力強、勇於跳出框架思考的能力。
4.能有良好溝通表達能力、擇善不固執及團隊精神。

【好好選擇】
1.我們重視工作氣氛，在這講求團隊互助合作， 鼓勵主動提案改善，不墨守成規，打造活力無限、笑聲不斷、樂在工作的熱血團隊。
2.我們重視技術人才的培育與職涯發展，提供內部技術交流學習、外部訓練課程(公司出資)，透過不同階段工作安排與規劃，工作輪調機制，培育各領域儲備人才，讓每位員工擁有個人發展舞台與空間。
3.我們重視員工生活，公司提供內外部各項參與社團活動、旅遊補助、電影欣賞等，讓您在工作之餘，可以安排個人休閒娛樂，享受工作，樂於生活。
4.內部環境自由，可自由參與其他大數據、PHP、資料庫等學習，不斷增加能力。

【好好薪資】
可採專案計酬、時薪$150~400元等方式，能力更強者，我們願意提供高於一般行情的薪酬，給具價值的您，確切薪資於面試時，將依實際能力/作品/經驗進行為最終核定，工作年資對我們不是非常重要。"
資料科學家,烏龜移動科技股份有限公司,面議,經歷不拘,台北市松山區,員工20人,,大學,"、挖掘、建模、模式評估等相關工作，並進行模型評估 
2. 資料視覺化設計
3. 熟悉預測方法、發展推薦演算法、個人化演算法
4. 爬蟲程式開發，並進行文字探勘"
資深PHP工程師_內湖(網路事業部),泰偉電子股份有限公司,面議,3年以上,台北市內湖區,員工240人,上市上櫃,大學,"工作內容：
1. 將依據專案需要，進行系統分析、資料庫設計及程式開發設計。
2. 製作網頁爬蟲或串接第三方API並提供前端網頁或APP所需的API資料。
3. 具備團隊合作能力，能夠主動與PM、設計師等討論並給予專業建議，共同追求合適的解決"
資料工程師,臺北直接貸金融科技股份有限公司,面議,1年以上,台北市中山區,員工10人,,大學,"工作內容：
1. 經濟數據與社群資料爬蟲、清理、儲存、分析。
2. 交易模型建立。
3. 與各部門協作資料應用；金融科技專題研究。

基本技能：Python
熟悉套件：BeautifulSoup、Pandas、Numpy、Scipy"
【台北】主任工程師,傑富資訊科技有限公司,面議,5年以上,台北市內湖區,員工30人,,專科,"我們是遊戲軟體開發公司。
目前 Jetfuel 正在積極尋找一起工作的技術伙伴，只要您對網站開發相關技術有熱忱與實力，都歡迎您來加入我們！

產品類型有網路爬蟲、網路金流、視訊推播、遊戲平台、區塊鍊...等等。
使用技術範圍會有"
數據分析師,臺北直接貸金融科技股份有限公司,面議,1年以上,台北市中山區,員工10人,,大學,"工作內容：
1. 金融數據與社群資料爬蟲、清理、儲存、分析。
2. 交易模型建立。
3. 與各部門協作資料應用；金融科技專題研究。

基本技能：Python、R、SPSS、SAS
熟悉套件：BeautifulSoup、Pandas"
營運數據工程師(PNT-TW),遊戲橘子數位科技股份有限公司,面議,2年以上,台北市內湖區,員工1000人,上市上櫃,大學," Server，並熟悉T-SQL語法。
6.熟悉並使用Python語言撰寫資料爬蟲程式。"
網站數位行銷工程師,Advantech_研華股份有限公司,面議,經歷不拘,台北市內湖區,員工8000人,上市上櫃,大學," (eStore)線上詢價下單行為, 及外部系統如Google Analytics整合於一單一data warehouse以供數位行銷平台使用
4.  撰寫網站爬蟲程式收集外部網站數據"
資料分析師,烏龜移動科技股份有限公司,面議,經歷不拘,台北市松山區,員工20人,,大學,"、挖掘、建模、模式評估等相關工作，並進行模型評估 
2. 資料視覺化設計
3. 熟悉預測方法、發展推薦演算法、個人化演算法
4. 爬蟲程式開發，並進行文字探勘"
PHP 工程師,年頡科技股份有限公司,月薪 3萬元 至 5萬元,經歷不拘,台北市內湖區,員工80人,,專科,"我們不在乎你的學歷!!
在這裡，實力與工作態度就是一切!!

我們不是接案公司，只做自己營運的產品!!
產品種類有：
1. 線上問卷調查
2. CMS 平台 ( 俗：文案農場，內容皆為合法授權或小編們辛苦產出，非爬蟲偷的 )
3"
C# 軟體工程師(可培訓*歡迎應屆畢業生),辰城科技有限公司,面議,1年以上,台北市內湖區,員工70人,,專科,"本團隊為新創團隊，以C#及Html等技術進行開發，
工作項目，重點如下，其他細節，歡迎各位朋友來談談：
     一. 構建以C#為底開發的遊戲Server。
     二. 使用HangFire為基礎來開發及維護爬蟲程式。
     三"
PHP 資深工程師,年頡科技股份有限公司,月薪 4萬元 至 8萬元,2年以上,台北市內湖區,員工80人,,專科,"我們不在乎你的學歷!!
在這裡，實力與工作態度就是一切!!

我們不是接案公司，只做自己營運的產品!!
產品種類有：
1. 線上問卷調查
2. CMS 平台 ( 俗：文案農場，內容皆為合法授權或小編們辛苦產出，非爬蟲偷的 )
3"
