jobName,companyName,salary,experience,place,companySize,special,school,description
開發工程師 (PG),泓廣數據有限公司,面議,3年以上,台北市大同區,,,專科,"工作內容與要求
• 熟悉Java，了解物件導向程式設計，並實際體現在工作中。
• 熟悉網站應用程式架構開發，如JSP Web Application、HTML等。
• 能按照開發組長的規範來開發程式，撰寫合宜註解，定期回報進度與開發問題。
• 熟悉關連式資料庫（如MySQL）與相關語法。
• 以撰寫出良好關注點分離、維護容易、調校方便的程式為己任。
• 能按照原型設計、系統設計書來開發系統、設計頁面元件。
• 以特定的版本控管技術（如Git），來控管自身程式碼，與團隊進行協同開發。
尤佳-
• 熟悉NoSQL資料庫尤佳（如MongoDB）。
• 熟悉Spring Boot/ Spring Cloud尤佳。
• 能進行單元測試除錯尤佳。
• 有Big Data相關開發經驗尤佳。"
程式工程師,至上集團_至上電子股份有限公司,依公司規定,經歷不拘,台北市內湖區,員工250人,上市上櫃,專科,"1.ORACLE  ERP維護。
2.MIS(.net)維護。
3.ORACLE及SQL資料庫之維護。
4.其他主管交辦事項。"
系統分析師/程式設計師,巨匠電腦股份有限公司(巨匠電腦)(巨匠美語),面議,2年以上,台北市中正區,員工800人,,專科,"1.網站設計、開發及資料庫建置(RWD)。 
2.資訊系統規劃與維護。
3.有獨立分析、設計、開發應用程式之能力。 
4.熟悉 ASP.NET、Ajax與SQL語法。
5.二年以上（含）相關工作經驗。"
資料庫工程師(T09),神通資訊科技股份有限公司,面議,1年以上,台北市內湖區,員工1000人,,大學,"1、具備SQL Server資料庫管理及效能調校管理經驗；
2、熟悉SQL Server Cluster及Always on環境；
3、熟悉SQL指令並提出能效能調整等相關技術；
4、須駐點負責單位資料庫維護管理。"
資料庫管理人員(DBA),統一期貨股份有限公司,依公司規定,2年以上,台北市松山區,員工135人,,專科,"1.依據使用者需求，參與資料庫架構的設計，並針對整體系統架構提供建議，以創建最佳資料庫架構。 
2.規劃、執行資料庫資料備援及回覆計畫。 
3.管理各項資料庫資源使用，包含使用數量、權限管理、使用空間、系統資源（CPU、Memory、IO）等"
資料工程師,英屬維京群島商博裕科技有限公司台灣分公司,面議,3年以上,台北市內湖區,員工107人,,專科,"1.資料庫系統建置維護(監控/備份/異常處理/效能調校)
2.客製化報表產出/查詢
3.資料庫物件開發與配合前端程式開發系統"
大數據資料管理師 (Data Scientist),智域國際股份有限公司,面議,2年以上,台北市信義區,,,大學,"1. 不同類型，數據資料收集。
2. 多維度模型定義。
3. 設計、建構數據分析模板，並針對目標進行分析。
4. 依數據分析結果，提出對應之改善方向與解決方案"
61540-資料工程師(Intern),QNAP_威聯通科技股份有限公司,面議,經歷不拘,台北市大安區,員工1100人,,專科,"1. 資料蒐集軟體開發
2. 資料轉換與集成軟體開發
3. 資料分析平台可靠性優化
4. 資料報表設計"
SQL資料庫工程師,緯德科技股份有限公司 (TechLink Corporation),面議,1年以上,台北市松山區,員工220人,,專科,"- 熟悉資料庫之SQL語法指令(PL/SQL或T-SQL)執行資料轉換及驗證。
- 熟悉資料庫安裝、設定及操作實務經驗1年以上。(Oracle、MS SQL Server、MySQL至少一種)
- 具備Stored Procedure實務經驗"
ETL資料工程師,緯德科技股份有限公司 (TechLink Corporation),面議,1年以上,台北市松山區,員工220人,,專科,"- 熟悉資料庫之SQL語法執行ETL資料轉換作業(ETL Job Developing、IBM DataStage、Informatica PowerCenter、Microsoft SSIS)實務經驗1年以上。
- 熟悉資料庫安裝、設定及操作"
資料工程師(Kafka),緯德科技股份有限公司 (TechLink Corporation),面議,1年以上,台北市松山區,員工220人,,專科,"- 分析銀行資料市集設計、開發、管理維護實務經驗1年以上。
- 實作資料微服務元件 (使用Kafka, Java)。
- 協助資料分析及探索過程中需要的資料收集與處理。
- 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定"
資料移轉經理,(總公司)南山人壽保險股份有限公司,面議,10年以上,台北市信義區,員工4000人,,大學,"●依據未來商業藍圖設計及資料移轉需求來定義資料移轉範圍，參與資料移轉策略之討論及制定。
●依據資料移轉範圍及內容，協助流程負責人成立資料移轉小組。
●確保資料移轉時程與品質符合專案主計畫

●協助專案計畫與進度報告匯總更新
●專案文件歸檔確認"
資料倉儲&商業智慧工程師(總公司),明台產物保險股份有限公司,面議,2年以上,台北市大安區,員工1300人,外商公司,大學,"1. 維護資料倉儲、ETL與BI系統，改善效能，建立資料及各項營運匯總資料模型，規畫並執行持續改善的計畫。
2. 用資料導向概念提昇各類業務，並推廣BI工具以加強各項資料應用。
3. 系統需求分析、溝通、解決方案建議與技術文件撰寫。"
